Ring,Coordinate,Angle (α′),Pattern
5,"(52.00, 161.00)",7.90,Anticlockwise
5,"(99.00, 137.00)",61.28,Anticlockwise
5,"(161.00, 52.00)",19.55,Anticlockwise
6,"(209.00, 0.00)",53.17,Anticlockwise
6,"(202.00, -54.00)",14.25,Anticlockwise
6,"(181.00, -105.00)",-3.97,Clockwise
6,"(148.00, -148.00)",-71.10,Clockwise
6,"(104.00, -181.00)",30.67,Anticlockwise
6,"(54.00, -202.00)",22.41,Anticlockwise
6,"(0.00, -209.00)",36.66,Anticlockwise
6,"(-54.00, -202.00)",5.45,Anticlockwise
6,"(-104.00, -181.00)",16.89,Anticlockwise
6,"(-148.00, -148.00)",5.48,Anticlockwise
6,"(-181.00, -105.00)",14.21,Anticlockwise
6,"(-202.00, -54.00)",15.66,Anticlockwise
6,"(-209.00, 0.00)",44.58,Anticlockwise
6,"(-202.00, 54.00)",14.44,Anticlockwise
6,"(-181.00, 105.00)",41.58,Anticlockwise
6,"(-148.00, 148.00)",31.75,Anticlockwise
6,"(-105.00, 181.00)",14.60,Anticlockwise
6,"(-54.00, 202.00)",35.16,Anticlockwise
6,"(0.00, 209.00)",83.10,Anticlockwise
6,"(54.00, 202.00)",25.10,Anticlockwise
6,"(104.00, 181.00)",9.48,Anticlockwise
6,"(148.00, 148.00)",48.79,Anticlockwise
6,"(181.00, 105.00)",9.57,Anticlockwise
6,"(202.00, 54.00)",31.49,Anticlockwise
7,"(250.00, 0.00)",61.26,Anticlockwise
7,"(244.00, -56.00)",-84.20,Clockwise
7,"(225.00, -108.00)",-8.02,Clockwise
7,"(195.00, -156.00)",-50.03,Clockwise
7,"(156.00, -195.00)",23.38,Anticlockwise
7,"(108.00, -225.00)",25.34,Anticlockwise
7,"(56.00, -244.00)",56.13,Anticlockwise
7,"(0.00, -250.00)",52.99,Anticlockwise
7,"(-56.00, -244.00)",35.08,Anticlockwise
7,"(-108.00, -225.00)",45.79,Anticlockwise
7,"(-156.00, -195.00)",44.06,Anticlockwise
7,"(-195.00, -156.00)",48.86,Anticlockwise
7,"(-225.00, -108.00)",38.69,Anticlockwise
7,"(-244.00, -56.00)",58.32,Anticlockwise
7,"(-250.00, 0.00)",12.46,Anticlockwise
7,"(-244.00, 56.00)",17.39,Anticlockwise
7,"(-225.00, 108.00)",2.85,Anticlockwise
7,"(-195.00, 156.00)",51.90,Anticlockwise
7,"(-156.00, 195.00)",35.29,Anticlockwise
7,"(-108.00, 225.00)",17.88,Anticlockwise
7,"(-56.00, 244.00)",77.31,Anticlockwise
7,"(0.00, 250.00)",66.23,Anticlockwise
7,"(56.00, 244.00)",36.32,Anticlockwise
7,"(108.00, 225.00)",63.55,Anticlockwise
7,"(156.00, 195.00)",22.86,Anticlockwise
7,"(244.00, 56.00)",28.40,Anticlockwise
8,"(290.00, 0.00)",71.03,Anticlockwise
8,"(284.00, -57.00)",72.66,Anticlockwise
8,"(268.00, -111.00)",-17.07,Clockwise
8,"(241.00, -161.00)",-34.59,Clockwise
8,"(205.00, -205.00)",-16.56,Clockwise
8,"(161.00, -241.00)",48.38,Anticlockwise
8,"(111.00, -268.00)",65.63,Anticlockwise
8,"(0.00, -290.00)",73.76,Anticlockwise
8,"(-57.00, -284.00)",35.85,Anticlockwise
8,"(-111.00, -268.00)",43.60,Anticlockwise
8,"(-161.00, -241.00)",4.29,Anticlockwise
8,"(-205.00, -205.00)",-8.60,Clockwise
8,"(-241.00, -161.00)",0.91,Anticlockwise
8,"(-284.00, -57.00)",-76.59,Clockwise
8,"(-290.00, 0.00)",37.69,Anticlockwise
8,"(-284.00, 57.00)",9.15,Anticlockwise
8,"(-268.00, 111.00)",-83.99,Clockwise
8,"(-241.00, 161.00)",-65.99,Clockwise
8,"(-205.00, 205.00)",38.47,Anticlockwise
8,"(-161.00, 241.00)",25.95,Anticlockwise
8,"(-111.00, 268.00)",12.88,Anticlockwise
8,"(-57.00, 284.00)",-61.04,Clockwise
8,"(0.00, 290.00)",73.55,Anticlockwise
8,"(57.00, 284.00)",47.62,Anticlockwise
8,"(111.00, 268.00)",67.12,Anticlockwise
8,"(161.00, 241.00)",77.56,Anticlockwise
8,"(205.00, 205.00)",13.10,Anticlockwise
8,"(241.00, 161.00)",76.71,Anticlockwise
8,"(268.00, 111.00)",85.65,Anticlockwise
8,"(284.00, 57.00)",-70.39,Clockwise
9,"(330.00, 0.00)",-60.52,Clockwise
9,"(325.00, -57.00)",-66.02,Clockwise
9,"(310.00, -113.00)",76.67,Anticlockwise
9,"(286.00, -165.00)",-8.78,Clockwise
9,"(253.00, -212.00)",-32.01,Clockwise
9,"(212.00, -253.00)",0.78,Anticlockwise
9,"(165.00, -286.00)",-80.87,Clockwise
9,"(113.00, -310.00)",45.21,Anticlockwise
9,"(-165.00, -286.00)",17.29,Anticlockwise
9,"(-212.00, -253.00)",-82.14,Clockwise
9,"(-252.00, -211.00)",88.91,Anticlockwise
9,"(-325.00, -57.00)",62.93,Anticlockwise
9,"(-330.00, 0.00)",86.79,Anticlockwise
9,"(-253.00, 212.00)",64.31,Anticlockwise
9,"(-212.00, 253.00)",67.46,Anticlockwise
9,"(-165.00, 286.00)",58.15,Anticlockwise
9,"(-113.00, 310.00)",0.42,Anticlockwise
9,"(-57.00, 325.00)",51.91,Anticlockwise
9,"(0.00, 330.00)",40.82,Anticlockwise
9,"(57.00, 325.00)",58.90,Anticlockwise
9,"(113.00, 310.00)",54.95,Anticlockwise
9,"(286.00, 165.00)",70.38,Anticlockwise
9,"(310.00, 113.00)",55.72,Anticlockwise
9,"(325.00, 57.00)",-87.12,Clockwise
SUMMARY,n_vectors=163,,Anticlockwise
