Ring,Coordinate,Angle (α′),Pattern
6,"(-196.00, -113.00)",67.19,Anticlockwise
6,"(-218.00, -58.00)",-57.99,Clockwise
6,"(-226.00, 0.00)",52.94,Anticlockwise
6,"(-218.00, 58.00)",36.68,Anticlockwise
6,"(-196.00, 113.00)",27.89,Anticlockwise
6,"(-160.00, 160.00)",63.39,Anticlockwise
6,"(-113.00, 196.00)",54.10,Anticlockwise
6,"(-58.00, 218.00)",41.71,Anticlockwise
6,"(0.00, 226.00)",34.81,Anticlockwise
6,"(58.00, 218.00)",-78.29,Clockwise
6,"(113.00, 196.00)",11.74,Anticlockwise
6,"(160.00, 160.00)",35.19,Anticlockwise
6,"(196.00, 113.00)",31.39,Anticlockwise
6,"(218.00, 58.00)",77.81,Anticlockwise
7,"(269.00, 0.00)",19.07,Anticlockwise
7,"(262.00, -60.00)",50.59,Anticlockwise
7,"(242.00, -117.00)",56.49,Anticlockwise
7,"(210.00, -168.00)",48.53,Anticlockwise
7,"(168.00, -210.00)",77.33,Anticlockwise
7,"(117.00, -242.00)",-71.44,Clockwise
7,"(60.00, -262.00)",-23.17,Clockwise
7,"(0.00, -269.00)",66.95,Anticlockwise
7,"(-60.00, -262.00)",1.73,Anticlockwise
7,"(-117.00, -242.00)",74.60,Anticlockwise
7,"(-168.00, -210.00)",38.57,Anticlockwise
7,"(-210.00, -168.00)",81.87,Anticlockwise
7,"(-242.00, -117.00)",84.97,Anticlockwise
7,"(-262.00, -60.00)",86.45,Anticlockwise
7,"(-269.00, 0.00)",87.79,Anticlockwise
7,"(-262.00, 60.00)",20.81,Anticlockwise
7,"(-242.00, 117.00)",37.74,Anticlockwise
7,"(-210.00, 168.00)",36.39,Anticlockwise
7,"(-168.00, 210.00)",54.71,Anticlockwise
7,"(-117.00, 242.00)",52.93,Anticlockwise
7,"(-60.00, 262.00)",63.58,Anticlockwise
7,"(0.00, 269.00)",32.75,Anticlockwise
7,"(60.00, 262.00)",-48.31,Clockwise
7,"(117.00, 242.00)",46.40,Anticlockwise
7,"(168.00, 210.00)",60.69,Anticlockwise
7,"(210.00, 168.00)",49.87,Anticlockwise
7,"(242.00, 117.00)",41.82,Anticlockwise
7,"(262.00, 60.00)",85.72,Anticlockwise
8,"(313.00, 0.00)",32.35,Anticlockwise
8,"(307.00, -61.00)",10.40,Anticlockwise
8,"(289.00, -120.00)",45.96,Anticlockwise
8,"(260.00, -174.00)",74.93,Anticlockwise
8,"(221.00, -221.00)",10.83,Anticlockwise
8,"(174.00, -260.00)",85.87,Anticlockwise
8,"(120.00, -289.00)",-63.83,Clockwise
8,"(61.00, -307.00)",-69.09,Clockwise
8,"(0.00, -313.00)",67.25,Anticlockwise
8,"(-61.00, -307.00)",50.33,Anticlockwise
8,"(-120.00, -289.00)",62.92,Anticlockwise
8,"(-174.00, -260.00)",83.24,Anticlockwise
8,"(-221.00, -221.00)",0.62,Anticlockwise
8,"(-260.00, -174.00)",-51.02,Clockwise
8,"(-289.00, -120.00)",-46.02,Clockwise
8,"(-307.00, -61.00)",89.73,Anticlockwise
8,"(-313.00, 0.00)",-80.32,Clockwise
8,"(-307.00, 61.00)",68.65,Anticlockwise
8,"(-289.00, 120.00)",-26.85,Clockwise
8,"(-260.00, 174.00)",54.05,Anticlockwise
8,"(-221.00, 221.00)",-6.26,Clockwise
8,"(-174.00, 260.00)",25.23,Anticlockwise
8,"(-120.00, 289.00)",46.40,Anticlockwise
8,"(-61.00, 307.00)",56.92,Anticlockwise
8,"(0.00, 313.00)",60.15,Anticlockwise
8,"(61.00, 307.00)",-24.09,Clockwise
8,"(120.00, 289.00)",79.13,Anticlockwise
8,"(174.00, 260.00)",-89.00,Clockwise
8,"(221.00, 221.00)",48.02,Anticlockwise
8,"(260.00, 174.00)",62.42,Anticlockwise
8,"(289.00, 120.00)",39.01,Anticlockwise
8,"(307.00, 61.00)",-71.20,Clockwise
9,"(356.00, 0.00)",-82.87,Clockwise
9,"(351.00, -62.00)",-35.12,Clockwise
9,"(335.00, -122.00)",32.32,Anticlockwise
9,"(308.00, -178.00)",31.76,Anticlockwise
9,"(272.00, -228.00)",36.64,Anticlockwise
9,"(229.00, -273.00)",-48.53,Clockwise
9,"(178.00, -308.00)",70.47,Anticlockwise
9,"(122.00, -335.00)",9.50,Anticlockwise
9,"(62.00, -351.00)",-51.40,Clockwise
9,"(0.00, -356.00)",58.89,Anticlockwise
9,"(-62.00, -351.00)",58.48,Anticlockwise
9,"(-122.00, -335.00)",-61.69,Clockwise
9,"(-178.00, -308.00)",-37.14,Clockwise
9,"(-229.00, -273.00)",56.87,Anticlockwise
9,"(-273.00, -229.00)",-32.73,Clockwise
9,"(-308.00, -178.00)",22.27,Anticlockwise
9,"(-335.00, -122.00)",-30.54,Clockwise
9,"(-351.00, -62.00)",-87.71,Clockwise
9,"(-356.00, 0.00)",-83.83,Clockwise
9,"(-351.00, 62.00)",-35.44,Clockwise
9,"(-335.00, 122.00)",-46.83,Clockwise
9,"(-308.00, 178.00)",-56.46,Clockwise
9,"(-273.00, 229.00)",89.04,Anticlockwise
9,"(-229.00, 273.00)",16.39,Anticlockwise
9,"(-178.00, 308.00)",85.37,Anticlockwise
9,"(-122.00, 335.00)",53.71,Anticlockwise
9,"(-62.00, 351.00)",-64.17,Clockwise
9,"(0.00, 356.00)",48.65,Anticlockwise
9,"(62.00, 351.00)",71.11,Anticlockwise
9,"(122.00, 335.00)",52.56,Anticlockwise
9,"(178.00, 308.00)",52.69,Anticlockwise
9,"(229.00, 273.00)",85.96,Anticlockwise
9,"(273.00, 229.00)",34.34,Anticlockwise
9,"(308.00, 178.00)",81.16,Anticlockwise
9,"(335.00, 122.00)",75.54,Anticlockwise
9,"(351.00, 62.00)",-82.98,Clockwise
SUMMARY,n_vectors=180,,Anticlockwise
