Ring,Coordinate,Angle (α′),Pattern
9,"(270.00, -226.00)",61.82,Anticlockwise
9,"(226.00, -270.00)",-51.42,Clockwise
9,"(176.00, -305.00)",81.39,Anticlockwise
9,"(120.00, -331.00)",-23.07,Clockwise
9,"(61.00, -347.00)",42.68,Anticlockwise
9,"(0.00, -352.00)",-20.21,Clockwise
9,"(-61.00, -347.00)",88.51,Anticlockwise
9,"(-120.00, -331.00)",-75.47,Clockwise
9,"(-176.00, -305.00)",86.67,Anticlockwise
9,"(-226.00, -270.00)",79.44,Anticlockwise
9,"(-270.00, -226.00)",29.89,Anticlockwise
9,"(-305.00, -176.00)",75.18,Anticlockwise
9,"(-352.00, 0.00)",-79.76,Clockwise
9,"(-347.00, 61.00)",-58.28,Clockwise
9,"(-331.00, 120.00)",-62.45,Clockwise
9,"(-305.00, 176.00)",40.05,Anticlockwise
9,"(-270.00, 226.00)",10.26,Anticlockwise
9,"(-226.00, 270.00)",-7.77,Clockwise
9,"(-176.00, 305.00)",3.24,Anticlockwise
9,"(-120.00, 331.00)",19.90,Anticlockwise
9,"(-61.00, 347.00)",25.13,Anticlockwise
9,"(0.00, 352.00)",-12.17,Clockwise
9,"(61.00, 347.00)",-80.39,Clockwise
9,"(120.00, 331.00)",27.93,Anticlockwise
9,"(176.00, 305.00)",-37.21,Clockwise
9,"(226.00, 270.00)",-54.62,Clockwise
9,"(270.00, 226.00)",-80.65,Clockwise
9,"(305.00, 176.00)",-21.32,Clockwise
9,"(331.00, 120.00)",-37.19,Clockwise
9,"(347.00, 61.00)",73.53,Anticlockwise
SUMMARY,n_vectors=178,,Anticlockwise
