Ring,Coordinate,Angle (α′),Pattern
7,"(201.00, 97.00)",-47.74,Clockwise
7,"(217.00, 50.00)",27.32,Anticlockwise
8,"(259.00, 0.00)",39.05,Anticlockwise
8,"(254.00, -51.00)",-73.74,Clockwise
8,"(239.00, -99.00)",-13.78,Clockwise
8,"(215.00, -144.00)",26.27,Anticlockwise
8,"(183.00, -183.00)",59.55,Anticlockwise
8,"(144.00, -215.00)",-11.52,Clockwise
8,"(99.00, -239.00)",3.74,Anticlockwise
8,"(51.00, -254.00)",-8.02,Clockwise
8,"(0.00, -259.00)",8.41,Anticlockwise
8,"(-51.00, -254.00)",-25.14,Clockwise
8,"(-99.00, -239.00)",-25.14,Clockwise
8,"(-144.00, -215.00)",-34.58,Clockwise
8,"(-183.00, -183.00)",-51.80,Clockwise
8,"(-215.00, -144.00)",-66.31,Clockwise
8,"(-239.00, -99.00)",59.67,Anticlockwise
8,"(-254.00, -51.00)",-16.47,Clockwise
8,"(-259.00, 0.00)",18.27,Anticlockwise
8,"(-254.00, 51.00)",73.40,Anticlockwise
8,"(-239.00, 99.00)",-60.67,Clockwise
8,"(-215.00, 144.00)",-55.25,Clockwise
8,"(-144.00, 215.00)",-71.16,Clockwise
8,"(-99.00, 238.00)",-85.51,Clockwise
8,"(-51.00, 254.00)",-84.92,Clockwise
8,"(0.00, 259.00)",-47.10,Clockwise
8,"(51.00, 254.00)",-64.91,Clockwise
8,"(99.00, 239.00)",-74.67,Clockwise
8,"(144.00, 215.00)",-15.29,Clockwise
8,"(215.00, 144.00)",-83.79,Clockwise
8,"(239.00, 99.00)",-43.26,Clockwise
8,"(254.00, 51.00)",45.75,Anticlockwise
9,"(295.00, 0.00)",-80.05,Clockwise
9,"(291.00, -51.00)",-57.88,Clockwise
9,"(277.00, -101.00)",57.65,Anticlockwise
9,"(255.00, -148.00)",70.53,Anticlockwise
9,"(226.00, -190.00)",37.96,Anticlockwise
9,"(147.00, -255.00)",-27.01,Clockwise
9,"(101.00, -277.00)",48.63,Anticlockwise
9,"(51.00, -291.00)",44.30,Anticlockwise
9,"(-101.00, -277.00)",72.93,Anticlockwise
9,"(-255.00, -148.00)",68.65,Anticlockwise
9,"(-277.00, -101.00)",47.15,Anticlockwise
9,"(-291.00, -51.00)",-16.43,Clockwise
9,"(-295.00, 0.00)",-51.18,Clockwise
9,"(-291.00, 51.00)",36.74,Anticlockwise
9,"(-277.00, 101.00)",-46.11,Clockwise
9,"(-255.00, 148.00)",-43.92,Clockwise
9,"(-226.00, 190.00)",-67.06,Clockwise
9,"(0.00, 295.00)",73.48,Anticlockwise
9,"(51.00, 291.00)",-61.10,Clockwise
9,"(101.00, 277.00)",-38.35,Clockwise
9,"(147.00, 255.00)",21.89,Anticlockwise
9,"(189.00, 225.00)",50.38,Anticlockwise
9,"(226.00, 190.00)",-69.81,Clockwise
9,"(255.00, 148.00)",-33.78,Clockwise
9,"(277.00, 101.00)",29.11,Anticlockwise
9,"(291.00, 51.00)",36.66,Anticlockwise
SUMMARY,n_vectors=168,,Clockwise
